RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  752400    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.815E+02  5.217E+08
    1    8     1 *****  ---    6  5.3E-01  5.5E+03  1.651E+02  4.170E+08
    2    9  3503 *****  bnd    0  1.0E+00  3.2E+04  2.482E+02  1.972E+08
    3   17  1649 *****  bnd    7  6.4E-02  7.4E+02  2.557E+02  1.971E+08
    4   28  1800 *****  bnd   10  3.5E-03  4.1E+01  2.562E+02  1.971E+08
    5   49  2760 *****  ---    0  1.0E+00  8.3E+03  3.717E+02  1.857E+08
    6   69  7488 *****  ---   19  5.9E-17  5.8E-13      -          -

ABNORMAL_TERMINATION_IN_LNSRCH                              

 Line search cannot locate an adequate point after 20 function
  and gradient evaluations.  Previous x, f and g restored.
 Possible causes: 1 error in function or gradient evaluation;
                  2 rounding error dominate computation.

 Total User time 7.125E+02 seconds.

E+02  4.813E+00  6.422E+06
   12   19   314 *****  bnd    0  1.0E+00  8.2E+02  5.574E+00  6.255E+06
   13   20   160 *****  bnd    0  1.0E+00  1.0E+03  6.124E+00  6.118E+06
   14   21   141 *****  bnd    0  1.0E+00  2.0E+03  8.965E+00  5.998E+06
   15   22    46 *****  bnd    0  1.0E+00  9.3E+02  4.519E+00  5.915E+06
   16   23    95 *****  bnd    0  1.0E+00  1.9E+02  1.411E+00  5.893E+06
   17   24   143 *****  bnd    0  1.0E+00  3.6E+02  1.385E+00  5.871E+06
   18   25    91 *****  bnd    0  1.0E+00  4.9E+02  3.228E+00  5.852E+06
   19   26    48 *****  bnd    0  1.0E+00  7.3E+02  4.316E+00  5.841E+06
   20   27    29 *****  bnd    0  1.0E+00  1.4E+02  6.570E-01  5.832E+06
   21   28    44 *****  bnd    0  1.0E+00  1.1E+02  8.542E-01  5.828E+06
   22   29    40 *****  bnd    0  1.0E+00  2.0E+02  1.406E+00  5.824E+06
   23   31    30 *****  bnd    1  5.1E-01  1.8E+02  9.001E-01  5.822E+06
   24   32    48 *****  bnd    0  1.0E+00  1.8E+02  3.696E-01  5.820E+06
   25   33    34 *****  bnd    0  1.0E+00  9.1E+01  1.991E-01  5.819E+06
   26   34    40 *****  bnd    0  1.0E+00  1.2E+02  4.244E-01  5.818E+06
   27   35    14 *****  bnd    0  1.0E+00  9.4E+01  3.422E-01  5.818E+06
   28   36    11 *****  bnd    0  1.0E+00  2.6E+01  1.280E-01  5.817E+06
   29   37    24 *****  bnd    0  1.0E+00  4.8E+01  1.300E-01  5.817E+06
   30   38    10 *****  bnd    0  1.0E+00  4.0E+01  2.166E-01  5.817E+06
   31   39     3 *****  bnd    0  1.0E+00  5.7E+01  1.044E-01  5.817E+06
   32   40     6 *****  bnd    0  1.0E+00  2.2E+01  1.289E-01  5.817E+06
   33   41     7 *****  bnd    0  1.0E+00  1.7E+01  5.662E-02  5.817E+06
   34   42     6 *****  bnd    0  1.0E+00  1.8E+01  5.599E-02  5.817E+06
   35   43    11 *****  bnd    0  1.0E+00  2.0E+01  7.965E-02  5.817E+06
   36   44     5 *****  bnd    0  1.0E+00  6.2E+00  2.482E-02  5.817E+06
   37   45     6 *****  bnd    0  1.0E+00  6.6E+00  2.052E-02  5.817E+06
   38   46     3 *****  bnd    0  1.0E+00  8.7E+00  3.503E-02  5.817E+06
   39   48     3 *****  bnd    1  5.1E-01  6.6E+00  2.186E-02  5.817E+06
   40   49     3 *****  bnd    0  1.0E+00  4.9E+00  8.306E-03  5.817E+06
   41   50     5 *****  bnd    0  1.0E+00  3.6E+00  1.082E-02  5.817E+06
   42   51     4 *****  bnd    0  1.0E+00  4.4E+00  1.995E-02  5.817E+06
   43   52     2 *****  bnd    0  1.0E+00  3.0E+00  1.057E-02  5.817E+06
   44   53     1 *****  con    0  1.0E+00  1.0E+00  3.813E-03  5.817E+06
   45   54     1 *****  bnd    0  1.0E+00  1.8E+00  4.472E-03  5.817E+06
   46   55     1 *****  bnd    0  1.0E+00  1.8E+00  8.236E-03  5.817E+06
   47   56     1 *****  bnd    0  1.0E+00  1.4E+00  2.975E-03  5.817E+06
   48   57     1 *****  con    0  1.0E+00  8.9E-01  2.671E-03  5.817E+06
   49   58     1 *****  bnd    0  1.0E+00  6.0E-01  2.200E-03  5.817E+06

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 6.178E+02 seconds.

    0  1.0E+00  1.9E+03  9.079E-01  8.531E+06
   52   59    54 *****  bnd    0  1.0E+00  2.5E+02  7.106E-01  8.514E+06
   53   60    98 *****  bnd    0  1.0E+00  3.6E+02  5.666E-01  8.507E+06
   54   61    57 *****  bnd    0  1.0E+00  5.8E+02  4.563E-01  8.497E+06
   55   62    59 *****  bnd    0  1.0E+00  1.3E+03  7.510E-01  8.482E+06
   56   63    44 *****  bnd    0  1.0E+00  1.2E+03  7.753E-01  8.467E+06
   57   64    86 *****  bnd    0  1.0E+00  4.2E+02  4.573E-01  8.459E+06
